,Country.of.Origin,Region,Owner.1,Variety,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Total.Cup.Points
1246,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.17,6.17,6.17,7.08,7.33,6.83,10,10,10,77.92
1247,Nicaragua,jinotega,"BENCAFE, S. A.",,7.42,7,7,7.17,7.08,7,9.33,8.67,10,77.83
1248,Brazil,,Cafe Politico,,7,6.75,6.67,6.83,7.08,6.83,10,10,10,77.83
1249,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7,6.83,6.67,7.17,6.83,6.83,10,10,10,77.83
1250,Taiwan,"dongshan dist., tainan city 臺南市東山區","Lin, Che-Hao Krude 林哲豪",Typica,7.17,6.75,6.58,7.33,7.33,7.17,9.33,9.33,10,77.67
1251,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,,7.58,7.67,7.58,7.67,7.42,7.42,9.33,9.33,6,77.58
1252,Mexico,coatepec,STEPHANY ESCAMILLA FEMAT,Typica,7.17,6.75,6.58,6.75,6.83,6.75,10,10,10,77.5
1253,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.08,6.92,6.33,7,6.92,7,10,10,10,77.42
1254,Brazil,south of minas,Ipanema Coffees,Bourbon,7.5,7.33,7.42,7.58,7.58,6.92,8,8,10,77.33
1255,Guatemala,oriente,Juan Luis Alvarado Romero,Other,7.33,7,6.83,7.17,7.17,7.17,9.33,9.33,9.33,77.33
1256,Mexico,zaragoza itundujia,ISRAEL EDUARDO PAZ GARCIA,Typica,7.33,7,6.67,7,6.92,6.92,9.33,9.33,10,77.33
1257,Haiti,"dondon, haiti",Myriam Kaplan-Pasternak,Typica,6.83,6.83,6.83,6.75,6.92,6.92,9.33,10,10,77.25
1258,United States (Hawaii),kona,Eileen Koyanagi,,7.08,6.92,6.83,6.67,7.58,7.42,8.67,9.33,10,77.25
1259,Mexico,"motozintla, chiapas",ALEJANDRO GARCIA PALACIOS,Other,7.08,7,7,7.25,7.33,7.25,8.67,8.67,10,77.17
1260,Peru,san ignacio,Andrew Bowman,Caturra,7.42,7.75,7.42,7.67,7.92,7.83,8.67,5.33,9.33,77
1261,India,chickmangalore,Joshua Marsceau,,7.67,7.33,7.17,6.67,7.17,7.42,9.33,10,6.67,76.83
1262,Mexico,"pluma hidalogo, oaxaca",Masamichi Hiroike,Typica,6.67,6.33,6.42,6.83,7,6.92,10,10,10,76.75
1263,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,6.42,6.5,6.5,7.33,6.33,6.92,10,10,10,76.5
1264,Mexico,coatepec,HOMERO ANTONIO DE ANDA ANDRADE,Typica,7.17,6.58,6.58,7,7.25,6.58,9.33,9.33,10,76.42
1265,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.5,7,6.83,7.5,7.17,7.33,8.67,8.67,8.67,76.33
1266,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,6.17,6.5,6.5,7.17,7,6.83,10,10,10,76.33
1267,United States (Hawaii),kona,Eileen Koyanagi,Hawaiian Kona,7.25,7.08,6.83,7.17,7.33,6.83,8.67,8.67,9.33,76.25
1268,United States (Hawaii),kona,Eileen Koyanagi,,7.5,7.33,7.33,7.58,7.67,7.25,8,8,8,76.17
1269,Mexico,zaragoza itundujia,ISRAEL EDUARDO PAZ GARCIA,Typica,7.42,7,6.83,7.08,6.92,6.83,7.33,10,10,76.17
1270,Indonesia,indonesia,William Ho,Other,7.33,7,6.5,6.08,7.58,6.33,9.33,10,9.33,76.17
1271,Mexico,tepictla,GUILLERMO EDUARDO BOBADILLA MUGUIRA,Bourbon,7.08,6.83,6.83,7.17,7.17,7.08,10,7.33,10,76.08
1272,Honduras,intibuca,CAFES FINOS DE EXPORTACION S DE R.L.,Pacas,6.83,6.83,6.67,6.83,7,6.83,9.33,8.67,10,76
1273,Philippines,"benguet, mountain province",Ana Gonzales,,6.83,6.5,6.5,6.92,6.75,7,9.33,10,9.33,75.83
1274,Brazil,monte carmelo,Volcafe Ltda. - Brasil,,7.17,7,6.83,7.5,7.17,7,8,8,10,75.67
1275,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.92,7.58,7.17,7.58,7.33,7.17,8,8,8,75.58
1276,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,6.67,6.5,6.33,7,7.17,6.75,8.67,10,10,75.58
1277,Mexico,tlacuilotepec,JUANA RODRIGUEZ GUTIERREZ,Pacamara,7.5,7.25,6.92,7,7.17,6.83,8,8,10,75.5
1278,Mexico,ocosingo,FRANCISCO HERNANDEZ LORENZO,Mundo Novo,7.17,6.92,6.67,6.83,7.25,7.75,10,6,10,75.17
1279,Mexico,,MONTEGRANDE,Other,7.25,6.83,6.67,7.08,7.17,6.83,10,6.67,10,75.17
1280,Mexico,huautla de jimenez,MARTIN JIMENEZ CASIANO,Typica,7.17,7.17,6.83,7.17,7.42,6.67,8.67,7.33,10,75.17
1281,Mexico,menglian,"GRUPO JUVENIL MAGTAYANI, AC",Typica,7,6.92,6.75,6.92,7.17,6.83,10,6.67,10,75
1282,Mexico,zaragoza itundujia,ISRAEL EDUARDO PAZ GARCIA,Typica,7.08,6.75,6.58,7,7,6.75,8.67,8.67,10,74.92
1283,Mexico,coatepec,PABLO ENRIQUE MARTINEZ GAMA,Typica,7.33,6.75,6.67,7.25,7.5,7,10,5.33,10,74.83
1284,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,6.75,6.5,6.17,7,7.25,6.75,8,10,10,74.75
1285,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,6.75,6.67,6.17,7.17,7,6.58,8,10,10,74.75
1286,Mexico,chiapas,NESTOR MENDEZ GOMEZ,Typica,7.08,7,6.83,7.5,7.33,6.83,8,7.33,10,74.67
1287,United States (Hawaii),kona,Eileen Koyanagi,Hawaiian Kona,7.5,7.25,7,7.25,7.42,7.33,8,8.67,6.67,74.42
1288,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,6.5,6.33,6.5,7.5,7.33,6.83,8.67,10,8.67,74.33
1289,Mexico,"chocaman, veracruz",JORGE OCTAVIO ESCAMILLA PRADO,Typica,7,6.58,6.67,6.83,7.08,6.83,10,6.67,10,74.33
1290,Mexico,xalapa,MYRNA ROXANA GALVEZ GONZALEZ,Typica,6.92,6.42,6.17,7.33,7.25,6.75,10,6.67,10,74
1291,Mexico,coatepec,EUGENE HOLMAN PEW,Typica,7.67,7,7.17,7.58,7.33,7.33,10,2.67,10,73.83
1292,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,Hawaiian Kona,7.17,7.17,7.17,7.58,7.67,6.92,9.33,6.67,6.67,73.67
1293,Brazil,campos altos - cerrado,BOURBON SPECIALTY COFFEES,,7.25,6.58,6.58,7,7,6.42,8,8,10,73.5
1294,Honduras,intibuca,CAFES FINOS DE EXPORTACION S DE R.L.,Pacas,7,7.17,6.83,7.17,7,7.17,8,8,8,73.42
1295,Mexico,sierra alta mixe y zapoteca,Kurt Kappeli,Typica,7.08,7.08,6.92,7.08,6.92,6.92,8,8,8,72.92
1296,Colombia,,Honor dela Fuente,,8,7.33,7.75,7.33,7.42,7.67,6.67,6.67,6.67,72.83
1297,United States (Hawaii),kona,Eileen Koyanagi,Hawaiian Kona,6.92,6.92,6.92,7.5,7.58,7.17,6.67,6.67,9.33,72.58
1298,Haiti,marmelade,Myriam Kaplan-Pasternak,,6.92,6.75,7.08,7.17,7.33,6.67,10,5.33,8.67,72.33
1299,Costa Rica,occidental,Santa Laura Exportadora de Cafe S.L.E.C. S.A.,Caturra,6.33,6.5,6.33,6.83,6.33,6.5,10,6.67,10,71.75
1300,Mexico,tlatlauquitepec,JOSE ARMANDO NORBERTO BORZANI LEMINI,Mundo Novo,6.92,6.92,6.92,6.92,7.17,7,10,2.67,10,71.08
1301,Mexico,veracruz,RICARDO AARON SAMPIERI MARINI,Bourbon,6.5,6.67,6.42,7.17,7.33,6.5,8,6,10,71
1302,Mexico,"sierra norte yajalon, chiapas",Kurt Kappeli,Typica,6.92,7,6.83,6.92,7.42,6.92,6,6,10,70.75
1303,Brazil,cerrado,Volcafe Ltda. - Brasil,,7,7,6.83,7,7.33,6.83,6,6,10,70.67
1304,Honduras,marcala,CADEXSA,Catuai,6.67,6.5,6.17,6.67,6.83,6.17,8,8,8,69.33
1305,Honduras,marcala,CADEXSA,Catuai,7,6.17,6.17,6.67,6.5,6.17,8,8,8,69.17
1306,Honduras,marcala,CADEXSA,Catuai,7,6.33,6.17,6.5,6.67,6.17,8,8,8,69.17
1307,Mexico,juchique de ferrer,JUAN CARLOS GARCIA LOPEZ,Bourbon,7.08,6.83,6.25,7.42,7.25,6.75,10,0,10,68.33
1308,Haiti,"department d'artibonite , haiti",Myriam Kaplan-Pasternak,Typica,6.75,6.58,6.42,6.67,7.08,6.67,9.33,6,6,67.92
1309,Nicaragua,jalapa,"Exportadora Atlantic, S.A.",Caturra,7.25,6.58,6.33,6.25,6.42,6.08,6,6,6,63.08
1310,Guatemala,nuevo oriente,Juan Luis Alvarado Romero,Catuai,7.5,6.67,6.67,7.67,7.33,6.67,8,1.33,1.33,59.83
1312,Honduras,comayagua,Bismarck Castro,Caturra,0,0,0,0,0,0,0,0,0,0
